ImageNumber,Image_Metadata_GeneSymbol,Image_Metadata_AlleleDesc
12266,WWTR1,WT
13102,EMPTY,
12893,EMPTY,
12774,EMPTY,
12296,EMPTY,
13401,EMPTY,
12595,EMPTY,
12903,EMPTY,
12824,EMPTY,
13057,EMPTY,
13581,EMPTY,
13591,EMPTY,
13103,EMPTY,
13053,EMPTY,
12818,EMPTY,
12900,EMPTY,
12596,EMPTY,
12825,EMPTY,
14161,EMPTY,
14051,EMPTY,
12894,EMPTY,
12775,EMPTY,
12904,EMPTY,
13592,EMPTY,
14281,EMPTY,
14381,EMPTY,
13582,EMPTY,
13054,EMPTY,
13104,EMPTY,
14162,EMPTY,
14052,EMPTY,
12895,EMPTY,
12776,EMPTY,
13393,EMPTY,
14538,EMPTY,
14537,EMPTY,
14282,EMPTY,
12905,EMPTY,
13583,EMPTY,
14382,EMPTY,
14541,EMPTY,
14163,EMPTY,
13055,EMPTY,
12906,EMPTY,
13573,EMPTY,
14053,EMPTY,
13593,EMPTY,
14543,EMPTY,
14276,EMPTY,
13394,EMPTY,
14283,EMPTY,
14278,EMPTY,
13584,EMPTY,
14050,EMPTY,
14164,EMPTY,
14542,EMPTY,
14791,EMPTY,
13594,EMPTY,
13574,EMPTY,
14054,EMPTY,
13395,EMPTY,
14374,EMPTY,
13585,EMPTY,
13595,EMPTY,
14165,EMPTY,
13575,EMPTY,
14279,EMPTY,
13576,EMPTY,
14275,EMPTY,
14055,EMPTY,
15077,YAP1,WT.1
15013,EMPTY,
13586,EMPTY,
14375,EMPTY,
13596,EMPTY,
14166,EMPTY,
14544,EMPTY,
14376,EMPTY,
15017,EMPTY,
14536,EMPTY,
231,EMPTY,
336,EMPTY,
341,EMPTY,
226,EMPTY,
451,EMPTY,
551,EMPTY,
556,EMPTY,
716,EMPTY,
456,EMPTY,
337,EMPTY,
232,EMPTY,
227,EMPTY,
342,EMPTY,
966,EMPTY,
452,EMPTY,
1001,EMPTY,
971,EMPTY,
712,EMPTY,
557,EMPTY,
717,EMPTY,
552,EMPTY,
457,EMPTY,
338,EMPTY,
233,EMPTY,
228,EMPTY,
967,EMPTY,
453,EMPTY,
558,EMPTY,
1002,EMPTY,
713,EMPTY,
718,EMPTY,
972,EMPTY,
553,EMPTY,
339,EMPTY,
458,EMPTY,
334,EMPTY,
968,EMPTY,
234,EMPTY,
454,EMPTY,
229,EMPTY,
1003,EMPTY,
714,EMPTY,
719,EMPTY,
554,EMPTY,
1006,EMPTY,
550,EMPTY,
335,EMPTY,
340,EMPTY,
969,EMPTY,
459,EMPTY,
455,EMPTY,
1004,EMPTY,
230,EMPTY,
964,EMPTY,
1016,EMPTY,
1011,EMPTY,
715,EMPTY,
720,EMPTY,
1007,EMPTY,
970,EMPTY,
1196,EMPTY,
1191,EMPTY,
555,EMPTY,
1296,YAP1,WT.2
1291,YAP1,WT.2
1256,YAP1,WT.1
1005,EMPTY,
1017,EMPTY,
965,EMPTY,
1000,EMPTY,
1012,EMPTY,
1426,EMPTY,
1431,EMPTY,
1008,EMPTY,
1601,YAP1,WT.3
1676,EMPTY,
1197,EMPTY,
1292,YAP1,WT.2
1257,YAP1,WT.1
1616,YAP1,WT.4
1571,EMPTY,
1596,YAP1,WT.3
1192,EMPTY,
1252,YAP1,WT.1
1776,EMPTY,
1013,EMPTY,
1681,EMPTY,
1009,EMPTY,
1427,EMPTY,
1781,EMPTY,
1602,YAP1,WT.3
1677,EMPTY,
1567,EMPTY,
1293,YAP1,WT.2
1612,YAP1,WT.4
1288,YAP1,WT.2
1891,WWTR1,WT
1961,EMPTY,
1617,YAP1,WT.4
1258,YAP1,WT.1
1931,EMPTY,
1896,WWTR1,WT
1193,EMPTY,
1956,EMPTY,
1597,YAP1,WT.3
1010,EMPTY,
1777,EMPTY,
1253,YAP1,WT.1
1572,EMPTY,
1428,EMPTY,
1014,EMPTY,
1782,EMPTY,
1568,EMPTY,
1189,EMPTY,
1289,YAP1,WT.2
1294,YAP1,WT.2
1678,EMPTY,
1962,EMPTY,
1613,YAP1,WT.4
1259,YAP1,WT.1
1932,EMPTY,
1618,YAP1,WT.4
1682,EMPTY,
1892,WWTR1,WT
1897,WWTR1,WT
1927,EMPTY,
1194,EMPTY,
1778,EMPTY,
1598,YAP1,WT.3
1290,YAP1,WT.2
1015,EMPTY,
1957,EMPTY,
1254,YAP1,WT.1
1429,EMPTY,
1569,EMPTY,
1295,YAP1,WT.2
1679,EMPTY,
